image,label
imageDataSet1204/Punch/49366.jpg,1
imageDataSet1204/Punch/48749.jpg,1
imageDataSet1204/Punch/36998.jpg,1
imageDataSet1204/Punch/44675.jpg,1
imageDataSet1204/Punch/25964.jpg,1
imageDataSet1204/Punch/23388.jpg,1
imageDataSet1204/Punch/26301.jpg,1
imageDataSet1204/Punch/33819.jpg,1
imageDataSet1204/Punch/02623.jpg,1
imageDataSet1204/Punch/09628.jpg,1
imageDataSet1204/Punch/48629.jpg,1
imageDataSet1204/Punch/20323.jpg,1
imageDataSet1204/Punch/07322.jpg,1
imageDataSet1204/Punch/33273.jpg,1
imageDataSet1204/Punch/19777.jpg,1
imageDataSet1204/Punch/11568.jpg,1
imageDataSet1204/Punch/34408.jpg,1
imageDataSet1204/Punch/07403.jpg,1
imageDataSet1204/Punch/29576.jpg,1
imageDataSet1204/Punch/24025.jpg,1
imageDataSet1204/Punch/46309.jpg,1
imageDataSet1204/Punch/02817.jpg,1
imageDataSet1204/Punch/45854.jpg,1
imageDataSet1204/Punch/38668.jpg,1
imageDataSet1204/Punch/46241.jpg,1
imageDataSet1204/Punch/33537.jpg,1
imageDataSet1204/Punch/44279.jpg,1
imageDataSet1204/Punch/03382.jpg,1
imageDataSet1204/Punch/32662.jpg,1
imageDataSet1204/Punch/05613.jpg,1
imageDataSet1204/Punch/50898.jpg,1
imageDataSet1204/Punch/11386.jpg,1
imageDataSet1204/Punch/04350.jpg,1
imageDataSet1204/Punch/15461.jpg,1
imageDataSet1204/Punch/26273.jpg,1
imageDataSet1204/Punch/24385.jpg,1
imageDataSet1204/Punch/51449.jpg,1
imageDataSet1204/Punch/12677.jpg,1
imageDataSet1204/Punch/33974.jpg,1
imageDataSet1204/Punch/02197.jpg,1
imageDataSet1204/Punch/03705.jpg,1
imageDataSet1204/Punch/43286.jpg,1
imageDataSet1204/Punch/09930.jpg,1
imageDataSet1204/Punch/05956.jpg,1
imageDataSet1204/Punch/24287.jpg,1
imageDataSet1204/Punch/37936.jpg,1
imageDataSet1204/Punch/26027.jpg,1
imageDataSet1204/Punch/11985.jpg,1
imageDataSet1204/Punch/43934.jpg,1
imageDataSet1204/Punch/17063.jpg,1
imageDataSet1204/Punch/21983.jpg,1
imageDataSet1204/Punch/41157.jpg,1
imageDataSet1204/Punch/04264.jpg,1
imageDataSet1204/Punch/41333.jpg,1
imageDataSet1204/Punch/00372.jpg,1
imageDataSet1204/Punch/26059.jpg,1
imageDataSet1204/Punch/00515.jpg,1
imageDataSet1204/Punch/15210.jpg,1
imageDataSet1204/Punch/06071.jpg,1
imageDataSet1204/Punch/44692.jpg,1
imageDataSet1204/Punch/26428.jpg,1
imageDataSet1204/Punch/08479.jpg,1
imageDataSet1204/Punch/16325.jpg,1
imageDataSet1204/Punch/19436.jpg,1
imageDataSet1204/Punch/26825.jpg,1
imageDataSet1204/Punch/07187.jpg,1
imageDataSet1204/Punch/28768.jpg,1
imageDataSet1204/Punch/07601.jpg,1
imageDataSet1204/Punch/23110.jpg,1
imageDataSet1204/Punch/17738.jpg,1
imageDataSet1204/Punch/13028.jpg,1
imageDataSet1204/Punch/18115.jpg,1
imageDataSet1204/Punch/18016.jpg,1
imageDataSet1204/Punch/28732.jpg,1
imageDataSet1204/Punch/43113.jpg,1
imageDataSet1204/Punch/40255.jpg,1
imageDataSet1204/Punch/47436.jpg,1
imageDataSet1204/Punch/00668.jpg,1
imageDataSet1204/Punch/29701.jpg,1
imageDataSet1204/Punch/40269.jpg,1
imageDataSet1204/Punch/35257.jpg,1
imageDataSet1204/Punch/48848.jpg,1
imageDataSet1204/Punch/08694.jpg,1
imageDataSet1204/Punch/18161.jpg,1
imageDataSet1204/Punch/15072.jpg,1
imageDataSet1204/Punch/42586.jpg,1
imageDataSet1204/Punch/33682.jpg,1
imageDataSet1204/Punch/23485.jpg,1
imageDataSet1204/Punch/42751.jpg,1
imageDataSet1204/Punch/15088.jpg,1
imageDataSet1204/Punch/31269.jpg,1
imageDataSet1204/Punch/18363.jpg,1
imageDataSet1204/Punch/47149.jpg,1
imageDataSet1204/Punch/44348.jpg,1
imageDataSet1204/Punch/36580.jpg,1
imageDataSet1204/Punch/04628.jpg,1
imageDataSet1204/Punch/15857.jpg,1
imageDataSet1204/Punch/31132.jpg,1
imageDataSet1204/Punch/32908.jpg,1
imageDataSet1204/Punch/33040.jpg,1
imageDataSet1204/Punch/30904.jpg,1
imageDataSet1204/Punch/27392.jpg,1
imageDataSet1204/Punch/18796.jpg,1
imageDataSet1204/Punch/43521.jpg,1
imageDataSet1204/Punch/10043.jpg,1
imageDataSet1204/Punch/32097.jpg,1
imageDataSet1204/Punch/33616.jpg,1
imageDataSet1204/Punch/34683.jpg,1
imageDataSet1204/Punch/48364.jpg,1
imageDataSet1204/Punch/05646.jpg,1
imageDataSet1204/Punch/08447.jpg,1
imageDataSet1204/Punch/06111.jpg,1
imageDataSet1204/Punch/48458.jpg,1
imageDataSet1204/Punch/11705.jpg,1
imageDataSet1204/Punch/16341.jpg,1
imageDataSet1204/Punch/37166.jpg,1
imageDataSet1204/Punch/28133.jpg,1
imageDataSet1204/Punch/29354.jpg,1
imageDataSet1204/Punch/35578.jpg,1
imageDataSet1204/Punch/34084.jpg,1
